open_time,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,symbol
2024-01-14 14:16:00,42680.9,42710.7,42678.4,42706.9,55.145,2353928.0408,1138,39.325,1678691.2117,BTCUSDT
2024-01-14 14:17:00,42706.9,42714.8,42700.8,42712.0,44.344,1893793.1046,1172,18.712,799157.8723,BTCUSDT
2024-01-14 14:18:00,42712.0,42727.6,42711.9,42720.5,49.628,2120076.2045,1235,32.165,1374063.3506,BTCUSDT
2024-01-14 14:19:00,42720.4,42720.8,42708.0,42720.7,47.616,2033868.8809,1173,23.558,1006260.8362,BTCUSDT
2024-01-14 14:20:00,42720.7,42744.0,42720.7,42743.9,73.951,3160428.06,1203,47.639,2035892.4654,BTCUSDT
2024-01-14 14:21:00,42744.0,42757.1,42730.0,42730.0,107.251,4584905.0551,2001,61.221,2617213.6867,BTCUSDT
2024-01-14 14:22:00,42730.1,42737.6,42718.2,42722.0,108.468,4634569.9277,1299,29.905,1277847.7421,BTCUSDT
2024-01-14 14:23:00,42722.0,42732.9,42718.1,42727.5,30.506,1303450.2083,662,15.638,668171.403,BTCUSDT
2024-01-14 14:24:00,42727.5,42739.9,42727.5,42739.9,42.312,1808082.8391,738,35.878,1533151.1955,BTCUSDT
2024-01-14 14:25:00,42740.0,42756.3,42739.9,42752.2,47.263,2020453.8819,1246,28.206,1205794.2727,BTCUSDT
2024-01-14 14:26:00,42752.3,42752.3,42708.1,42718.5,146.63,6264485.9583,1343,44.215,1889016.4513,BTCUSDT
2024-01-14 14:27:00,42718.5,42753.6,42718.5,42753.6,49.172,2101509.117,761,33.367,1425936.3355,BTCUSDT
2024-01-14 14:28:00,42753.6,42758.1,42741.5,42741.5,42.614,1821777.0137,1009,17.804,761139.6961,BTCUSDT
2024-01-14 14:29:00,42741.6,42749.9,42726.5,42742.8,35.651,1523626.4766,739,19.077,815315.9308,BTCUSDT
2024-01-14 14:30:00,42742.8,42752.9,42739.0,42751.4,47.001,2009074.3563,1243,15.366,656832.5024,BTCUSDT
2024-01-14 14:31:00,42751.4,42751.4,42735.0,42735.1,62.737,2681731.455,964,21.143,903738.8144,BTCUSDT
2024-01-14 14:32:00,42735.0,42742.9,42735.0,42741.3,27.092,1157914.2288,741,16.269,695323.2971,BTCUSDT
2024-01-14 14:33:00,42741.2,42746.1,42735.0,42743.9,27.313,1167365.3725,769,10.051,429575.8971,BTCUSDT
2024-01-14 14:34:00,42745.3,42763.0,42745.2,42750.0,83.467,3568786.0482,1593,49.248,2105676.3489,BTCUSDT
2024-01-14 14:35:00,42750.1,42750.1,42727.0,42727.0,44.665,1908917.8235,730,11.22,479534.8551,BTCUSDT
2024-01-14 14:36:00,42727.0,42743.3,42718.4,42739.3,150.368,6424706.3155,1552,112.701,4815129.8747,BTCUSDT
2024-01-14 14:37:00,42739.3,42751.0,42737.3,42750.8,24.622,1052472.0697,735,13.868,592793.2076,BTCUSDT
2024-01-14 14:38:00,42750.9,42786.7,42750.9,42772.4,219.04,9369709.9484,1949,157.231,6725443.9212,BTCUSDT
2024-01-14 14:39:00,42772.4,42777.3,42763.0,42771.8,48.387,2069401.0404,985,36.45,1558853.8676,BTCUSDT
2024-01-14 14:40:00,42771.8,42787.1,42771.8,42773.0,77.796,3327956.9678,1417,45.619,1951490.5221,BTCUSDT
2024-01-14 14:41:00,42773.1,42780.0,42766.8,42773.9,67.666,2894264.7607,1355,35.977,1538854.2193,BTCUSDT
2024-01-14 14:42:00,42774.0,42787.1,42766.6,42776.4,50.532,2161566.2875,1340,27.196,1163399.2838,BTCUSDT
2024-01-14 14:43:00,42776.5,42781.8,42771.9,42780.7,45.02,1925732.0947,1189,28.841,1233694.862,BTCUSDT
2024-01-14 14:44:00,42780.6,42785.5,42772.0,42773.8,53.601,2292958.3141,1453,29.396,1257556.0077,BTCUSDT
2024-01-14 14:45:00,42773.8,42783.3,42773.7,42778.9,39.171,1675671.2456,1179,15.507,663379.9779,BTCUSDT
2024-01-14 14:46:00,42779.0,42787.1,42778.9,42787.0,44.926,1922098.5475,1173,33.521,1434138.9135,BTCUSDT
